date,Date,pm25_sea_ma
01-01-2018 00:00,01-01-2018,423
01-01-2018 01:00,01-01-2018,414
01-01-2018 02:00,01-01-2018,417
01-01-2018 03:00,01-01-2018,466
01-01-2018 04:00,01-01-2018,470
01-01-2018 05:00,01-01-2018,449
01-01-2018 06:00,01-01-2018,404
01-01-2018 07:00,01-01-2018,380
01-01-2018 08:00,01-01-2018,371
01-01-2018 09:00,01-01-2018,332
01-01-2018 10:00,01-01-2018,336
01-01-2018 11:00,01-01-2018,382
01-01-2018 12:00,01-01-2018,411
01-01-2018 13:00,01-01-2018,426
01-01-2018 14:00,01-01-2018,420
01-01-2018 15:00,01-01-2018,330
01-01-2018 16:00,01-01-2018,320
01-01-2018 17:00,01-01-2018,301
01-01-2018 18:00,01-01-2018,386
01-01-2018 19:00,01-01-2018,480
01-01-2018 20:00,01-01-2018,472
01-01-2018 21:00,01-01-2018,444
01-01-2018 22:00,01-01-2018,438
01-01-2018 23:00,01-01-2018,448
02-01-2018 00:00,02-01-2018,492
02-01-2018 01:00,02-01-2018,446
02-01-2018 02:00,02-01-2018,341
02-01-2018 03:00,02-01-2018,342
02-01-2018 04:00,02-01-2018,337
02-01-2018 05:00,02-01-2018,362
02-01-2018 06:00,02-01-2018,384
02-01-2018 07:00,02-01-2018,394
02-01-2018 08:00,02-01-2018,364
02-01-2018 09:00,02-01-2018,350
02-01-2018 10:00,02-01-2018,348
02-01-2018 11:00,02-01-2018,367
02-01-2018 12:00,02-01-2018,367
02-01-2018 13:00,02-01-2018,365
02-01-2018 14:00,02-01-2018,404
02-01-2018 15:00,02-01-2018,380
02-01-2018 16:00,02-01-2018,351
02-01-2018 17:00,02-01-2018,333
02-01-2018 18:00,02-01-2018,357
02-01-2018 19:00,02-01-2018,356
02-01-2018 20:00,02-01-2018,365
02-01-2018 21:00,02-01-2018,423
02-01-2018 22:00,02-01-2018,445
02-01-2018 23:00,02-01-2018,439
03-01-2018 00:00,03-01-2018,362
03-01-2018 01:00,03-01-2018,360
03-01-2018 02:00,03-01-2018,324
03-01-2018 03:00,03-01-2018,346
03-01-2018 04:00,03-01-2018,321
03-01-2018 05:00,03-01-2018,311
03-01-2018 06:00,03-01-2018,310
03-01-2018 07:00,03-01-2018,316
03-01-2018 08:00,03-01-2018,300
03-01-2018 09:00,03-01-2018,301
03-01-2018 10:00,03-01-2018,321
03-01-2018 11:00,03-01-2018,338
03-01-2018 12:00,03-01-2018,359
03-01-2018 13:00,03-01-2018,365
03-01-2018 14:00,03-01-2018,343
03-01-2018 15:00,03-01-2018,334
03-01-2018 16:00,03-01-2018,375
03-01-2018 17:00,03-01-2018,364
03-01-2018 18:00,03-01-2018,367
03-01-2018 19:00,03-01-2018,361
03-01-2018 20:00,03-01-2018,393
03-01-2018 21:00,03-01-2018,333
03-01-2018 22:00,03-01-2018,315
03-01-2018 23:00,03-01-2018,316
04-01-2018 00:00,04-01-2018,373
04-01-2018 01:00,04-01-2018,329
04-01-2018 02:00,04-01-2018,301
04-01-2018 03:00,04-01-2018,143
04-01-2018 04:00,04-01-2018,150
04-01-2018 05:00,04-01-2018,171
04-01-2018 06:00,04-01-2018,170
04-01-2018 07:00,04-01-2018,204
04-01-2018 08:00,04-01-2018,178
04-01-2018 09:00,04-01-2018,158
04-01-2018 10:00,04-01-2018,190
04-01-2018 11:00,04-01-2018,305
04-01-2018 12:00,04-01-2018,325
04-01-2018 13:00,04-01-2018,399
04-01-2018 14:00,04-01-2018,388
04-01-2018 15:00,04-01-2018,345
04-01-2018 16:00,04-01-2018,364
04-01-2018 17:00,04-01-2018,470
04-01-2018 18:00,04-01-2018,416
04-01-2018 19:00,04-01-2018,393
04-01-2018 20:00,04-01-2018,387
04-01-2018 21:00,04-01-2018,376
04-01-2018 22:00,04-01-2018,409
04-01-2018 23:00,04-01-2018,420
05-01-2018 00:00,05-01-2018,437
05-01-2018 01:00,05-01-2018,391
05-01-2018 02:00,05-01-2018,346
05-01-2018 03:00,05-01-2018,329
05-01-2018 04:00,05-01-2018,341
05-01-2018 05:00,05-01-2018,353
05-01-2018 06:00,05-01-2018,326
05-01-2018 07:00,05-01-2018,335
05-01-2018 08:00,05-01-2018,323
05-01-2018 09:00,05-01-2018,319
05-01-2018 10:00,05-01-2018,320
05-01-2018 11:00,05-01-2018,354
05-01-2018 12:00,05-01-2018,359
05-01-2018 13:00,05-01-2018,341
05-01-2018 14:00,05-01-2018,294
05-01-2018 15:00,05-01-2018,171
05-01-2018 16:00,05-01-2018,170
05-01-2018 17:00,05-01-2018,414
05-01-2018 18:00,05-01-2018,379
05-01-2018 19:00,05-01-2018,358
05-01-2018 20:00,05-01-2018,368
05-01-2018 21:00,05-01-2018,375
05-01-2018 22:00,05-01-2018,386
05-01-2018 23:00,05-01-2018,412
06-01-2018 00:00,06-01-2018,409
06-01-2018 01:00,06-01-2018,410
06-01-2018 02:00,06-01-2018,346
06-01-2018 03:00,06-01-2018,241
06-01-2018 04:00,06-01-2018,346
06-01-2018 05:00,06-01-2018,357
06-01-2018 06:00,06-01-2018,345
06-01-2018 07:00,06-01-2018,359
06-01-2018 08:00,06-01-2018,371
06-01-2018 09:00,06-01-2018,327
06-01-2018 10:00,06-01-2018,318
06-01-2018 11:00,06-01-2018,320
06-01-2018 12:00,06-01-2018,345
06-01-2018 13:00,06-01-2018,353
06-01-2018 14:00,06-01-2018,398
06-01-2018 15:00,06-01-2018,415
06-01-2018 16:00,06-01-2018,356
06-01-2018 17:00,06-01-2018,327
06-01-2018 18:00,06-01-2018,250
06-01-2018 19:00,06-01-2018,245
06-01-2018 20:00,06-01-2018,322
06-01-2018 21:00,06-01-2018,348
06-01-2018 22:00,06-01-2018,403
06-01-2018 23:00,06-01-2018,452
07-01-2018 00:00,07-01-2018,431
07-01-2018 01:00,07-01-2018,370
07-01-2018 02:00,07-01-2018,412
07-01-2018 03:00,07-01-2018,354
07-01-2018 04:00,07-01-2018,308
07-01-2018 05:00,07-01-2018,364
07-01-2018 06:00,07-01-2018,375
07-01-2018 07:00,07-01-2018,388
07-01-2018 08:00,07-01-2018,348
07-01-2018 09:00,07-01-2018,322
07-01-2018 10:00,07-01-2018,169
07-01-2018 11:00,07-01-2018,225
07-01-2018 12:00,07-01-2018,260
07-01-2018 13:00,07-01-2018,242
07-01-2018 14:00,07-01-2018,79
07-01-2018 15:00,07-01-2018,58
07-01-2018 16:00,07-01-2018,77
07-01-2018 17:00,07-01-2018,76
07-01-2018 18:00,07-01-2018,86
07-01-2018 19:00,07-01-2018,106
07-01-2018 20:00,07-01-2018,301
07-01-2018 21:00,07-01-2018,398
07-01-2018 22:00,07-01-2018,404
07-01-2018 23:00,07-01-2018,374
08-01-2018 00:00,08-01-2018,334
08-01-2018 01:00,08-01-2018,323
08-01-2018 02:00,08-01-2018,349
08-01-2018 03:00,08-01-2018,356
08-01-2018 04:00,08-01-2018,344
08-01-2018 05:00,08-01-2018,355
08-01-2018 06:00,08-01-2018,334
08-01-2018 07:00,08-01-2018,340
08-01-2018 08:00,08-01-2018,289
08-01-2018 09:00,08-01-2018,280
08-01-2018 10:00,08-01-2018,339
08-01-2018 11:00,08-01-2018,342
08-01-2018 12:00,08-01-2018,317
08-01-2018 13:00,08-01-2018,224
08-01-2018 14:00,08-01-2018,65
08-01-2018 15:00,08-01-2018,55
08-01-2018 16:00,08-01-2018,94
08-01-2018 17:00,08-01-2018,82
08-01-2018 18:00,08-01-2018,83
08-01-2018 19:00,08-01-2018,120
08-01-2018 20:00,08-01-2018,235
08-01-2018 21:00,08-01-2018,397
08-01-2018 22:00,08-01-2018,407
08-01-2018 23:00,08-01-2018,375
09-01-2018 00:00,09-01-2018,403
09-01-2018 01:00,09-01-2018,422
09-01-2018 02:00,09-01-2018,407
09-01-2018 03:00,09-01-2018,471
09-01-2018 04:00,09-01-2018,425
09-01-2018 05:00,09-01-2018,389
09-01-2018 06:00,09-01-2018,355
09-01-2018 07:00,09-01-2018,370
09-01-2018 08:00,09-01-2018,328
09-01-2018 09:00,09-01-2018,313
09-01-2018 10:00,09-01-2018,373
09-01-2018 11:00,09-01-2018,372
09-01-2018 12:00,09-01-2018,322
09-01-2018 13:00,09-01-2018,229
09-01-2018 14:00,09-01-2018,130
09-01-2018 15:00,09-01-2018,131
09-01-2018 16:00,09-01-2018,155
09-01-2018 17:00,09-01-2018,230
09-01-2018 18:00,09-01-2018,295
09-01-2018 19:00,09-01-2018,307
09-01-2018 20:00,09-01-2018,345
09-01-2018 21:00,09-01-2018,377
09-01-2018 22:00,09-01-2018,369
09-01-2018 23:00,09-01-2018,320
10-01-2018 00:00,10-01-2018,368
10-01-2018 01:00,10-01-2018,329
10-01-2018 02:00,10-01-2018,393
10-01-2018 03:00,10-01-2018,401
10-01-2018 04:00,10-01-2018,414
10-01-2018 05:00,10-01-2018,374
10-01-2018 06:00,10-01-2018,332
10-01-2018 07:00,10-01-2018,342
10-01-2018 08:00,10-01-2018,305
10-01-2018 09:00,10-01-2018,298
10-01-2018 10:00,10-01-2018,309
10-01-2018 11:00,10-01-2018,311
10-01-2018 12:00,10-01-2018,312
10-01-2018 13:00,10-01-2018,237
10-01-2018 14:00,10-01-2018,126
10-01-2018 15:00,10-01-2018,134
10-01-2018 16:00,10-01-2018,103
10-01-2018 17:00,10-01-2018,103
10-01-2018 18:00,10-01-2018,134
10-01-2018 19:00,10-01-2018,211
10-01-2018 20:00,10-01-2018,347
10-01-2018 21:00,10-01-2018,390
10-01-2018 22:00,10-01-2018,386
10-01-2018 23:00,10-01-2018,375
11-01-2018 00:00,11-01-2018,363
11-01-2018 01:00,11-01-2018,368
11-01-2018 02:00,11-01-2018,360
11-01-2018 03:00,11-01-2018,340
11-01-2018 04:00,11-01-2018,326
11-01-2018 05:00,11-01-2018,314
11-01-2018 06:00,11-01-2018,279
11-01-2018 07:00,11-01-2018,337
11-01-2018 08:00,11-01-2018,315
11-01-2018 09:00,11-01-2018,241
11-01-2018 10:00,11-01-2018,309
11-01-2018 11:00,11-01-2018,308
11-01-2018 12:00,11-01-2018,278
11-01-2018 13:00,11-01-2018,145
11-01-2018 14:00,11-01-2018,94
11-01-2018 15:00,11-01-2018,117
11-01-2018 16:00,11-01-2018,122
11-01-2018 17:00,11-01-2018,80
11-01-2018 18:00,11-01-2018,73
11-01-2018 19:00,11-01-2018,161
11-01-2018 20:00,11-01-2018,244
11-01-2018 21:00,11-01-2018,260
11-01-2018 22:00,11-01-2018,286
11-01-2018 23:00,11-01-2018,340
12-01-2018 00:00,12-01-2018,347
12-01-2018 01:00,12-01-2018,343
12-01-2018 02:00,12-01-2018,334
12-01-2018 03:00,12-01-2018,340
12-01-2018 04:00,12-01-2018,328
12-01-2018 05:00,12-01-2018,242
12-01-2018 06:00,12-01-2018,256
12-01-2018 07:00,12-01-2018,322
12-01-2018 08:00,12-01-2018,254
12-01-2018 09:00,12-01-2018,223
12-01-2018 10:00,12-01-2018,256
12-01-2018 11:00,12-01-2018,236
12-01-2018 12:00,12-01-2018,280
12-01-2018 13:00,12-01-2018,240
12-01-2018 14:00,12-01-2018,230
12-01-2018 15:00,12-01-2018,139
12-01-2018 16:00,12-01-2018,164
12-01-2018 17:00,12-01-2018,67
12-01-2018 18:00,12-01-2018,151
12-01-2018 19:00,12-01-2018,207
12-01-2018 20:00,12-01-2018,215
12-01-2018 21:00,12-01-2018,317
12-01-2018 22:00,12-01-2018,402
12-01-2018 23:00,12-01-2018,399
13-01-2018 00:00,13-01-2018,384
13-01-2018 01:00,13-01-2018,390
13-01-2018 02:00,13-01-2018,425
13-01-2018 03:00,13-01-2018,392
13-01-2018 04:00,13-01-2018,353
13-01-2018 05:00,13-01-2018,352
13-01-2018 06:00,13-01-2018,355
13-01-2018 07:00,13-01-2018,395
13-01-2018 08:00,13-01-2018,400
13-01-2018 09:00,13-01-2018,381
13-01-2018 10:00,13-01-2018,335
13-01-2018 11:00,13-01-2018,350
13-01-2018 12:00,13-01-2018,318
13-01-2018 13:00,13-01-2018,189
13-01-2018 14:00,13-01-2018,175
13-01-2018 15:00,13-01-2018,124
13-01-2018 16:00,13-01-2018,272
13-01-2018 17:00,13-01-2018,140
13-01-2018 18:00,13-01-2018,97
13-01-2018 19:00,13-01-2018,145
13-01-2018 20:00,13-01-2018,194
13-01-2018 21:00,13-01-2018,316
13-01-2018 22:00,13-01-2018,365
13-01-2018 23:00,13-01-2018,413
14-01-2018 00:00,14-01-2018,405
14-01-2018 01:00,14-01-2018,399
14-01-2018 02:00,14-01-2018,452
14-01-2018 03:00,14-01-2018,433
14-01-2018 04:00,14-01-2018,410
14-01-2018 05:00,14-01-2018,325
14-01-2018 06:00,14-01-2018,166
14-01-2018 07:00,14-01-2018,293
14-01-2018 08:00,14-01-2018,245
14-01-2018 09:00,14-01-2018,261
14-01-2018 10:00,14-01-2018,315
14-01-2018 11:00,14-01-2018,304
14-01-2018 12:00,14-01-2018,188
14-01-2018 13:00,14-01-2018,162
14-01-2018 14:00,14-01-2018,106
14-01-2018 15:00,14-01-2018,104
14-01-2018 16:00,14-01-2018,86
14-01-2018 17:00,14-01-2018,75
14-01-2018 18:00,14-01-2018,87
14-01-2018 19:00,14-01-2018,163
14-01-2018 20:00,14-01-2018,202
14-01-2018 21:00,14-01-2018,303
14-01-2018 22:00,14-01-2018,335
14-01-2018 23:00,14-01-2018,394
15-01-2018 00:00,15-01-2018,401
15-01-2018 01:00,15-01-2018,405
15-01-2018 02:00,15-01-2018,390
15-01-2018 03:00,15-01-2018,347
15-01-2018 04:00,15-01-2018,373
15-01-2018 05:00,15-01-2018,430
15-01-2018 06:00,15-01-2018,359
15-01-2018 07:00,15-01-2018,295
15-01-2018 08:00,15-01-2018,317
15-01-2018 09:00,15-01-2018,330
15-01-2018 10:00,15-01-2018,331
15-01-2018 11:00,15-01-2018,317
15-01-2018 12:00,15-01-2018,159
15-01-2018 13:00,15-01-2018,82
15-01-2018 14:00,15-01-2018,14
15-01-2018 15:00,15-01-2018,30
15-01-2018 16:00,15-01-2018,54
15-01-2018 17:00,15-01-2018,57
15-01-2018 18:00,15-01-2018,230
15-01-2018 19:00,15-01-2018,305
15-01-2018 20:00,15-01-2018,311
15-01-2018 21:00,15-01-2018,266
15-01-2018 22:00,15-01-2018,262
15-01-2018 23:00,15-01-2018,319
16-01-2018 00:00,16-01-2018,352
16-01-2018 01:00,16-01-2018,293
16-01-2018 02:00,16-01-2018,195
16-01-2018 03:00,16-01-2018,226
16-01-2018 04:00,16-01-2018,143
16-01-2018 05:00,16-01-2018,180
16-01-2018 06:00,16-01-2018,259
16-01-2018 07:00,16-01-2018,264
16-01-2018 08:00,16-01-2018,114
16-01-2018 09:00,16-01-2018,94
16-01-2018 10:00,16-01-2018,134
16-01-2018 11:00,16-01-2018,224
16-01-2018 12:00,16-01-2018,265
16-01-2018 13:00,16-01-2018,165
16-01-2018 14:00,16-01-2018,90
16-01-2018 15:00,16-01-2018,101
16-01-2018 16:00,16-01-2018,104
16-01-2018 17:00,16-01-2018,85
16-01-2018 18:00,16-01-2018,98
16-01-2018 19:00,16-01-2018,136
16-01-2018 20:00,16-01-2018,263
16-01-2018 21:00,16-01-2018,307
16-01-2018 22:00,16-01-2018,325
16-01-2018 23:00,16-01-2018,411
17-01-2018 00:00,17-01-2018,389
17-01-2018 01:00,17-01-2018,374
17-01-2018 02:00,17-01-2018,317
17-01-2018 03:00,17-01-2018,367
17-01-2018 04:00,17-01-2018,363
17-01-2018 05:00,17-01-2018,335
17-01-2018 06:00,17-01-2018,393
17-01-2018 07:00,17-01-2018,384
17-01-2018 08:00,17-01-2018,365
17-01-2018 09:00,17-01-2018,349
17-01-2018 10:00,17-01-2018,357
17-01-2018 11:00,17-01-2018,346
17-01-2018 12:00,17-01-2018,368
17-01-2018 13:00,17-01-2018,334
17-01-2018 14:00,17-01-2018,311
17-01-2018 15:00,17-01-2018,310
17-01-2018 16:00,17-01-2018,288
17-01-2018 17:00,17-01-2018,189
17-01-2018 18:00,17-01-2018,308
17-01-2018 19:00,17-01-2018,330
17-01-2018 20:00,17-01-2018,369
17-01-2018 21:00,17-01-2018,378
17-01-2018 22:00,17-01-2018,383
17-01-2018 23:00,17-01-2018,375
18-01-2018 00:00,18-01-2018,389
18-01-2018 01:00,18-01-2018,398
18-01-2018 02:00,18-01-2018,423
18-01-2018 03:00,18-01-2018,419
18-01-2018 04:00,18-01-2018,400
18-01-2018 05:00,18-01-2018,398
18-01-2018 06:00,18-01-2018,380
18-01-2018 07:00,18-01-2018,398
18-01-2018 08:00,18-01-2018,386
18-01-2018 09:00,18-01-2018,368
18-01-2018 10:00,18-01-2018,413
18-01-2018 11:00,18-01-2018,388
18-01-2018 12:00,18-01-2018,313
18-01-2018 13:00,18-01-2018,180
18-01-2018 14:00,18-01-2018,220
18-01-2018 15:00,18-01-2018,198
18-01-2018 16:00,18-01-2018,262
